program,p11,p12,p13,p14,p15,p16,p17,p18,p21,p22,p23,p24,p25,p26,p27,p31,p32,p33,p41,p42,p43,p44,p45,p46,p48,p51,p52,p53,p54,p55,p56,p61,p62,p63,p64,p65,p66,p71,p72,p73,p74,p75,p76,p81,p82,p83,p84
11,3,2,0,1,1,1,16,2,3,2,0,1,1,1,16,0,2,0,69,0,0,1,0,2,1,13,31,14,31,31,22,18,31,31,31,31,20,7,16,29,25,10,20,7,6,1,0
12,3,2,1,1,1,1,20,1,3,2,1,1,1,1,20,0,2,0,68,0,1,1,0,2,1,0,19,22,25,0,19,18,15,21,16,31,22,0,0,0,0,0,0,7,4,0,0
13,3,2,1,1,1,1,18,2,3,2,1,1,1,1,12,0,2,0,0,2,1,2,12,1,1,6,23,23,31,31,17,6,22,16,27,0,17,7,25,23,26,20,16,8,4,0,0
14,3,2,0,1,1,1,30,1,2,2,1,1,1,1,30,0,2,5,31,2,2,2,5,1,1,8,31,0,1,27,8,0,22,16,27,8,17,0,16,16,16,5,8,7,6,0,1
15,3,2,1,1,1,1,16,2,3,2,1,1,1,1,16,0,2,0,29,14,1,2,9,1,1,0,31,31,31,31,19,0,22,31,29,31,19,24,25,5,28,28,16,8,4,0,0
16,2,2,1,1,1,1,20,2,2,2,1,1,1,1,20,0,2,0,51,3,1,2,3,1,1,9,24,22,27,31,20,9,27,14,27,4,20,0,10,0,0,9,20,7,2,3,0
17,2,1,1,1,1,1,14,2,3,1,1,1,1,1,14,12,1,0,79,2,1,2,0,2,1,0,31,31,31,31,20,0,31,31,31,31,20,0,31,31,31,31,0,11,0,0,0
18,2,2,1,1,1,1,14,2,2,2,1,1,1,1,14,0,2,0,31,2,2,2,12,1,1,2,23,20,26,13,15,7,24,20,24,24,15,0,0,13,0,31,14,7,4,0,0
21,2,2,1,1,1,0,30,1,2,2,1,1,1,1,30,0,0,0,23,7,0,2,9,2,1,0,20,20,27,27,0,0,22,14,27,4,14,0,20,15,3,0,0,11,0,0,0
22,2,2,1,1,1,1,16,2,2,2,1,1,1,1,16,0,2,0,0,0,1,2,10,1,1,0,23,23,31,31,17,0,22,16,27,0,17,11,24,22,26,18,20,7,0,0,0
